State: [0, 0.029166666666666667, 0.0], Action: 0, Reward: -7, Next State: [1, 0.0875, 0.0], Done: False
State: [0, 0.029166666666666667, 0.0], Action: 0, Reward: -7, Next State: [1, 0.07416666666666667, 0.0], Done: False
State: [0, 0.029166666666666667, 0.0], Action: 2, Reward: -14, Next State: [0, 0.07666666666666666, 0.0], Done: False
State: [1, 0.0875, 0.0], Action: 3, Reward: -14, Next State: [0, 0.0775, 0.0], Done: False
State: [1, 0.0875, 0.0], Action: 1, Reward: -8, Next State: [0, 0.0625, 0.0], Done: False
State: [1, 0.0875, 0.0], Action: 2, Reward: -10, Next State: [0, 0.0825, 0.0], Done: False
State: [0, 0.07666666666666666, 0.0], Action: 2, Reward: -14, Next State: [0, 0.07916666666666666, 0.0], Done: False
State: [0, 0.0775, 0.0], Action: 0, Reward: -11, Next State: [0, 0.08416666666666667, 0.0], Done: False
State: [0, 0.0625, 0.0], Action: 2, Reward: -14, Next State: [0, 0.07666666666666666, 0.0], Done: False
State: [0, 0.0625, 0.0], Action: 1, Reward: -12, Next State: [0, 0.08166666666666667, 0.0], Done: False
State: [0, 0.08416666666666667, 0.0], Action: 2, Reward: -14, Next State: [0, 0.050833333333333335, 0.0], Done: False
State: [0, 0.08416666666666667, 0.0], Action: 0, Reward: -7, Next State: [1, 0.0325, 0.0], Done: False
State: [0, 0.08416666666666667, 0.0], Action: 3, Reward: -18, Next State: [0, 0.05, 0.0], Done: False
State: [0, 0.08166666666666667, 0.0], Action: 2, Reward: -14, Next State: [0, 0.03833333333333333, 0.0], Done: False
State: [0, 0.08166666666666667, 0.0], Action: 1, Reward: -12, Next State: [0, 0.08, 0.0], Done: False
State: [0, 0.050833333333333335, 0.0], Action: 3, Reward: -18, Next State: [0, 0.07416666666666667, 0.0], Done: False
State: [0, 0.050833333333333335, 0.0], Action: 1, Reward: -12, Next State: [0, 0.07083333333333333, 0.0], Done: False
State: [0, 0.08, 0.0], Action: 3, Reward: -18, Next State: [0, 0.03833333333333333, 0.0], Done: False
State: [0, 0.08, 0.0], Action: 0, Reward: -11, Next State: [0, 0.04666666666666667, 0.0], Done: False
State: [0, 0.08, 0.0], Action: 2, Reward: -14, Next State: [0, 0.04833333333333333, 0.0], Done: False
State: [0, 0.07083333333333333, 0.0], Action: 1, Reward: -12, Next State: [0, 0.08083333333333333, 0.0], Done: False
State: [0, 0.07083333333333333, 0.0], Action: 0, Reward: -11, Next State: [0, 0.0925, 0.0], Done: False
State: [0, 0.07083333333333333, 0.0], Action: 2, Reward: -14, Next State: [0, 0.08, 0.0], Done: False
State: [0, 0.07083333333333333, 0.0], Action: 2, Reward: -14, Next State: [0, 0.07916666666666666, 0.0], Done: False
State: [0, 0.04666666666666667, 0.0], Action: 2, Reward: -14, Next State: [0, 0.06833333333333333, 0.0], Done: False
State: [0, 0.04666666666666667, 0.0], Action: 1, Reward: -12, Next State: [0, 0.06916666666666667, 0.0], Done: False
State: [0, 0.04666666666666667, 0.0], Action: 0, Reward: -11, Next State: [0, 0.08, 0.0], Done: False
State: [0, 0.04833333333333333, 0.0], Action: 0, Reward: -11, Next State: [0, 0.08416666666666667, 0.0], Done: False
State: [0, 0.08083333333333333, 0.0], Action: 0, Reward: -11, Next State: [0, 0.06916666666666667, 0.0], Done: False
State: [0, 0.0925, 0.0], Action: 0, Reward: -11, Next State: [0, 0.075, 0.0], Done: False
State: [0, 0.0925, 0.0], Action: 3, Reward: -18, Next State: [0, 0.07083333333333333, 0.0], Done: False
State: [0, 0.0925, 0.0], Action: 0, Reward: -11, Next State: [0, 0.07083333333333333, 0.0], Done: False
State: [0, 0.08, 0.0], Action: 2, Reward: -14, Next State: [0, 0.075, 0.0], Done: False
State: [0, 0.07916666666666666, 0.0], Action: 1, Reward: -12, Next State: [0, 0.07666666666666666, 0.0], Done: False
State: [0, 0.06833333333333333, 0.0], Action: 2, Reward: -14, Next State: [0, 0.075, 0.0], Done: False
State: [0, 0.06833333333333333, 0.0], Action: 2, Reward: -14, Next State: [0, 0.07, 0.0], Done: False
State: [0, 0.06916666666666667, 0.0], Action: 3, Reward: -18, Next State: [0, 0.06333333333333334, 0.0], Done: False
State: [0, 0.06916666666666667, 0.0], Action: 3, Reward: -18, Next State: [0, 0.0675, 0.0], Done: False
State: [0, 0.06916666666666667, 0.0], Action: 2, Reward: -14, Next State: [0, 0.030833333333333334, 0.0], Done: False
State: [0, 0.06916666666666667, 0.0], Action: 3, Reward: -18, Next State: [0, 0.07583333333333334, 0.0], Done: False
State: [0, 0.08, 0.0], Action: 2, Reward: -14, Next State: [0, 0.0775, 0.0], Done: False
State: [0, 0.08, 0.0], Action: 0, Reward: -11, Next State: [0, 0.075, 0.0], Done: False
